experiment_name,experiment_label,model_name,model_slug,prediction_file,total_gold_instances,total_gold_sentences,unknown_prediction_sentence_count,ignored_extra_predictions_total,missing_prediction_count,multiple_prediction_count,invalid_prediction_bucket_count,wrong_allowed_label_count,correct_prediction_count,sentence_exact_count,micro_tp,micro_fp,micro_fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,accuracy,sentence_exact_rate
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,C:\Users\yahia\Desktop\paper\NER_TemporalInfo_and_LLM\corpus\experiment\pydanticai_openrouter_temporal_annotator\timetank_temporal_annotation_experiment\generation_results\single_pass\annotations\minimax__minimax-m2.7.csv,1000,990,0,266,103,0,0,3,894,885,894,3,106,0.9966555183946488,0.894,0.9425408539799685,0.9966982847048484,0.894,0.9419995578101454,0.9966982847048484,0.894,0.9419995578101454,0.894,0.8939393939393939
single_pass,Single-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,C:\Users\yahia\Desktop\paper\NER_TemporalInfo_and_LLM\corpus\experiment\pydanticai_openrouter_temporal_annotator\timetank_temporal_annotation_experiment\generation_results\single_pass\annotations\qwen__qwen3.5-9b.csv,1000,990,0,302,101,0,0,3,896,886,896,3,104,0.996662958843159,0.896,0.9436545550289626,0.9968922533520799,0.896,0.9423543302936308,0.99689225335208,0.896,0.9423543302936309,0.896,0.8949494949494949
single_pass,Single-pass,z-ai/glm-5,z-ai__glm-5,C:\Users\yahia\Desktop\paper\NER_TemporalInfo_and_LLM\corpus\experiment\pydanticai_openrouter_temporal_annotator\timetank_temporal_annotation_experiment\generation_results\single_pass\annotations\z-ai__glm-5.csv,1000,990,0,286,82,0,0,1,917,907,917,1,83,0.9989106753812637,0.917,0.9562043795620438,0.9989626556016598,0.9169999999999999,0.955665831561744,0.9989626556016598,0.917,0.955665831561744,0.917,0.9161616161616162
multi_pass,Multi-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,C:\Users\yahia\Desktop\paper\NER_TemporalInfo_and_LLM\corpus\experiment\pydanticai_openrouter_temporal_annotator\timetank_temporal_annotation_experiment\generation_results\multi_pass\annotations\minimax__minimax-m2.7_ReAct.csv,1000,990,0,251,87,0,0,1,912,903,912,1,88,0.9989047097480832,0.912,0.9534762153685311,0.9989711934156379,0.912,0.952739964773404,0.9989711934156378,0.912,0.9527399647734041,0.912,0.9121212121212121
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,C:\Users\yahia\Desktop\paper\NER_TemporalInfo_and_LLM\corpus\experiment\pydanticai_openrouter_temporal_annotator\timetank_temporal_annotation_experiment\generation_results\multi_pass\annotations\qwen__qwen3.5-9b_ReAct.csv,1000,990,0,285,136,0,0,3,861,853,861,3,139,0.9965277777777778,0.861,0.9238197424892703,0.9967718261709679,0.861,0.9226162190961127,0.9967718261709677,0.861,0.9226162190961128,0.861,0.8616161616161616
multi_pass,Multi-pass,z-ai/glm-5,z-ai__glm-5,C:\Users\yahia\Desktop\paper\NER_TemporalInfo_and_LLM\corpus\experiment\pydanticai_openrouter_temporal_annotator\timetank_temporal_annotation_experiment\generation_results\multi_pass\annotations\z-ai__glm-5_ReAct.csv,1000,990,0,272,79,0,0,1,920,910,920,1,80,0.998914223669924,0.92,0.9578344612181157,0.9989711934156379,0.9199999999999999,0.9572632128381311,0.9989711934156378,0.92,0.9572632128381313,0.92,0.9191919191919192
